18:46:26.107 +  32.277s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:26.690 +  32.861s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:27.242 +  33.412s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:27.420 +  33.591s  CALLBACK progress: ticker=WINFUT progresso=99
18:46:27.533 +  33.703s  CALLBACK history #1: ticker=WINFUT data=24/08/2026 09:00:44.997 num=10 preco=173480.0 qtd=1200 tipo=4
18:46:27.534 +  33.704s  CALLBACK history #2: ticker=WINFUT data=24/08/2026 09:00:44.997 num=20 preco=173480.0 qtd=800 tipo=4
18:46:27.535 +  33.705s  CALLBACK history #3: ticker=WINFUT data=24/08/2026 09:00:44.997 num=30 preco=173480.0 qtd=1200 tipo=4
18:46:27.535 +  33.705s  CALLBACK history #4: ticker=WINFUT data=24/08/2026 09:00:44.997 num=40 preco=173480.0 qtd=200 tipo=4
18:46:27.535 +  33.705s  CALLBACK history #5: ticker=WINFUT data=24/08/2026 09:00:44.997 num=50 preco=173480.0 qtd=300 tipo=4
18:47:04.930 +  71.100s  CALLBACK progress: ticker=WINFUT progresso=100
18:47:15.148 +  81.318s  priming concluido: ok
18:47:15.148 +  81.319s  --- GetHistoryTrades('WINFUT', 'F', '24/08/2026 09:00:00', '24/08/2026 18:35:00') ---
18:47:15.152 +  81.322s  GetHistoryTrades retornou 0 = NL_OK em 1.4 ms
18:47:15.153 +  81.323s  CALLBACK progress: ticker=WINFUT progresso=0
18:47:15.191 +  81.361s  CALLBACK progress: ticker=WINFUT progresso=87
18:47:15.223 +  81.394s  CALLBACK progress: ticker=WINFUT progresso=88
18:47:15.251 +  81.421s  CALLBACK progress: ticker=WINFUT progresso=89
18:47:15.304 +  81.474s  CALLBACK progress: ticker=WINFUT progresso=90
18:47:15.359 +  81.529s  CALLBACK progress: ticker=WINFUT progresso=91
18:47:15.377 +  81.547s  CALLBACK progress: ticker=WINFUT progresso=92
18:47:15.417 +  81.587s  CALLBACK progress: ticker=WINFUT progresso=93
18:47:15.479 +  81.649s  CALLBACK progress: ticker=WINFUT progresso=94
18:47:15.549 +  81.719s  CALLBACK progress: ticker=WINFUT progresso=95
18:47:15.576 +  81.747s  CALLBACK progress: ticker=WINFUT progresso=96
18:47:15.618 +  81.789s  CALLBACK progress: ticker=WINFUT progresso=97
18:47:15.646 +  81.816s  CALLBACK progress: ticker=WINFUT progresso=98
18:47:15.649 +  81.819s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:15.653 +  81.823s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:16.099 +  82.269s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:16.626 +  82.796s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:17.118 +  83.288s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:17.599 +  83.770s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:17.982 +  84.152s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:18.457 +  84.628s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:19.070 +  85.240s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:19.832 +  86.002s  CALLBACK progress: ticker=WINFUT progresso=99
18:47:21.031 +  87.202s  CALLBACK progress: ticker=WINFUT progresso=99
